0,1,2,table_number,source
"Berkeley County, South Carolina",1.13,1.10,7,Google Data Centers PUE page
"Montgomery County, Tennessee",1.13,1.10,7,Google Data Centers PUE page
"Jackson County, Alabama",1.13,1.10,7,Google Data Centers PUE page
"Loudoun County, Virginia",1.11,1.09,7,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.09,1.08,7,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.05,,7,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.07,1.08,7,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,,7,Google Data Centers PUE page
"Council Bluffs, Iowa",1.13,1.11,7,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.07,7,Google Data Centers PUE page
"Papillion, Nebraska",1.1,1.09,7,Google Data Centers PUE page
"Mayes County, Oklahoma",1.14,1.11,7,Google Data Centers PUE page
"Midlothian, Texas",1.13,1.11,7,Google Data Centers PUE page
"The Dalles, Oregon",1.11,1.10,7,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.07,7,Google Data Centers PUE page
"Henderson, Nevada",1.11,1.09,7,Google Data Centers PUE page
"Storey County, Nevada",1.22,1.17,7,Google Data Centers PUE page
"Dublin, Ireland",1.07,1.08,7,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.08,7,Google Data Centers PUE page
"Eemshaven, Netherlands",1.08,1.08,7,Google Data Centers PUE page
"Fredericia, Denmark",1.07,1.08,7,Google Data Centers PUE page
"Hamina, Finland",1.1,1.10,7,Google Data Centers PUE page
"Changua County, Taiwan",1.15,1.12,7,Google Data Centers PUE page
Singapore,1.13,1.13,7,Google Data Centers PUE page
Singapore (2nd facility),1.15,1.16,7,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.10,7,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,8,Google Data Centers PUE page
Fleet,1.08,1.09,8,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,8,Google Data Centers PUE page
"Berkeley County, South Carolina",1.08,1.1,8,Google Data Centers PUE page
"Central Ohio (Columbus), Ohio",1.05,1.06,8,Google Data Centers PUE page
"Central Ohio (Lancaster), Ohio",1.04,,8,Google Data Centers PUE page
"Central Ohio (New Albany), Ohio",1.05,1.07,8,Google Data Centers PUE page
"Changua County, Taiwan",1.12,1.13,8,Google Data Centers PUE page
"Council Bluffs, Iowa",1.09,1.11,8,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.06,1.07,8,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,8,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.08,8,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.08,8,Google Data Centers PUE page
"Fredericia, Denmark",1.07,1.07,8,Google Data Centers PUE page
"Hamina, Finland",1.09,1.1,8,Google Data Centers PUE page
"Henderson, Nevada",1.08,1.09,8,Google Data Centers PUE page
"Inzai, Japan",1.15,,8,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.1,8,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.13,8,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.09,8,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,8,Google Data Centers PUE page
"Mayes County, Oklahoma",1.09,1.11,8,Google Data Centers PUE page
"Midlothian, Texas",1.08,1.1,8,Google Data Centers PUE page
"Montgomery County, Tennessee",1.08,1.1,8,Google Data Centers PUE page
"Papillion, Nebraska",1.08,1.09,8,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,8,Google Data Centers PUE page
RLF- New Campus,1.06,,8,Google Data Centers PUE page
Singapore,1.13,1.13,8,Google Data Centers PUE page
Singapore (2nd facility),1.14,1.15,8,Google Data Centers PUE page
"St. Ghislain, Belgium",1.07,1.08,8,Google Data Centers PUE page
"Storey County, Nevada",1.11,1.16,8,Google Data Centers PUE page
"The Dalles, Oregon",1.1,1.1,8,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.06,1.06,8,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,9,Google Data Centers PUE page
Fleet,1.08,1.10,9,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,9,Google Data Centers PUE page
"Douglas County, Georgia",1.07,1.09,9,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,9,Google Data Centers PUE page
"Lowcountry, South Carolina",1.08,1.10,9,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.11,9,Google Data Centers PUE page
"Jackson County, Alabama",1.09,1.11,9,Google Data Centers PUE page
"Loudoun County, Virginia",1.07,1.08,9,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.07,1.08,9,Google Data Centers PUE page
"New Albany, Ohio",1.13,1.14,9,Google Data Centers PUE page
"Council Bluffs, Iowa",1.10,1.11,9,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.07,1.08,9,Google Data Centers PUE page
"Papillion, Nebraska",1.12,1.12,9,Google Data Centers PUE page
"Mayes County, Oklahoma",1.08,1.10,9,Google Data Centers PUE page
"Midlothian, Texas",1.11,1.14,9,Google Data Centers PUE page
"The Dalles, Oregon",1.09,1.10,9,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.07,9,Google Data Centers PUE page
"Henderson, Nevada",1.07,1.10,9,Google Data Centers PUE page
"Storey County, Nevada",1.18,*,9,Google Data Centers PUE page
"Dublin, Ireland",1.09,1.09,9,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,9,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,9,Google Data Centers PUE page
"Fredericia, Denmark",1.12,1.11,9,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,9,Google Data Centers PUE page
"Changhua County, Taiwan",1.09,1.12,9,Google Data Centers PUE page
Singapore,1.13,1.13,9,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.20,9,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,9,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,10,Google Data Centers PUE page
Fleet,1.10,1.10,10,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,10,Google Data Centers PUE page
"Douglas County, Georgia",1.09,1.09,10,Google Data Centers PUE page
"Lenoir, North Carolina",1.09,1.09,10,Google Data Centers PUE page
"Lowcountry, South Carolina",1.11,1.10,10,Google Data Centers PUE page
"Montgomery County, Tennessee",1.10,1.10,10,Google Data Centers PUE page
"Jackson County, Alabama",1.11,1.11,10,Google Data Centers PUE page
"Loudoun County, Virginia",1.08,1.08,10,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.08,1.08,10,Google Data Centers PUE page
"New Albany, Ohio",1.10,1.13,10,Google Data Centers PUE page
"Council Bluffs, Iowa",1.11,1.11,10,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.08,1.08,10,Google Data Centers PUE page
"Papillion, Nebraska",1.09,1.11,10,Google Data Centers PUE page
"Mayes County, Oklahoma",1.10,1.10,10,Google Data Centers PUE page
"Midlothian, Texas",1.14,1.14,10,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,10,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.07,1.06,10,Google Data Centers PUE page
"Henderson, Nevada",1.08,1.09,10,Google Data Centers PUE page
